"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2023","20,238.4","21,585.4","21,728.8","19,874.7","0.18K","-6.24%"
"01/29/2023","21,585.4","21,169.1","22,045.1","20,850.0","0.20K","1.97%"
"01/22/2023","21,169.1","20,959.2","21,873.9","20,500.0","0.16K","1.00%"
"01/15/2023","20,959.2","19,427.1","21,487.0","18,683.6","0.29K","7.89%"
"01/08/2023","19,427.1","15,680.0","19,707.8","15,643.0","0.37K","23.90%"
"01/01/2023","15,680.0","15,271.1","15,799.9","15,229.9","0.10K","2.68%"
"12/25/2022","15,271.1","15,701.2","15,789.6","15,083.5","0.20K","-2.74%"
"12/18/2022","15,701.2","15,661.7","15,763.9","15,148.0","0.15K","0.25%"
"12/11/2022","15,661.7","15,956.6","16,945.8","15,000.0","0.31K","-1.85%"
"12/04/2022","15,956.6","15,827.1","16,255.4","15,500.0","0.21K","0.82%"
"11/27/2022","15,827.1","15,575.9","16,273.8","15,176.8","0.19K","1.61%"
"11/20/2022","15,575.9","15,900.8","15,938.6","14,883.0","0.20K","-2.04%"
"11/13/2022","15,900.8","15,814.0","16,237.0","14,999.0","0.20K","0.55%"
"11/06/2022","15,814.0","21,213.7","21,258.4","15,365.0","0.60K","-25.45%"
"10/30/2022","21,213.7","20,718.8","21,350.6","20,112.1","0.23K","2.39%"
"10/23/2022","20,718.8","19,187.3","20,900.0","19,002.6","0.19K","7.98%"
"10/16/2022","19,187.3","19,162.0","19,602.5","18,935.0","0.12K","0.13%"
"10/09/2022","19,162.0","19,332.1","19,885.6","18,331.5","0.15K","-0.88%"
"10/02/2022","19,332.1","19,066.7","19,999.0","18,579.0","0.19K","1.43%"
"09/25/2022","19,059.0","18,551.8","20,077.8","18,343.9","0.19K","2.73%"
"09/18/2022","18,551.8","19,438.1","19,438.1","17,581.8","0.22K","-4.56%"
"09/11/2022","19,438.1","20,727.1","21,670.5","18,683.0","0.26K","-6.22%"
"09/04/2022","20,727.1","19,425.6","20,899.8","18,329.0","0.41K","6.70%"
"08/28/2022","19,425.6","19,440.3","20,032.9","18,920.2","0.27K","-0.08%"
"08/21/2022","19,440.3","20,333.3","21,084.3","19,236.2","0.22K","-4.39%"
"08/14/2022","20,333.3","22,996.6","23,685.0","19,999.0","0.18K","-11.58%"
"08/07/2022","22,996.6","22,087.6","23,398.3","21,639.5","0.11K","4.12%"
"07/31/2022","22,087.6","22,532.8","23,050.9","21,444.0","0.12K","-1.98%"
"07/24/2022","22,532.8","21,680.7","23,425.6","19,971.1","0.18K","3.93%"
"07/17/2022","21,680.7","20,667.5","23,595.1","20,250.0","0.20K","4.90%"
"07/10/2022","20,667.5","21,044.4","21,044.4","18,576.3","0.62K","-1.79%"
"07/03/2022","21,044.4","18,424.8","21,776.9","18,040.0","0.24K","14.22%"
"06/26/2022","18,424.8","20,641.2","20,900.0","17,801.2","0.24K","-10.74%"
"06/19/2022","20,641.2","18,408.8","20,920.8","17,410.2","0.45K","12.13%"
"06/12/2022","18,408.8","27,984.2","28,167.4","17,051.7","0.53K","-34.22%"
"06/05/2022","27,984.2","28,681.5","30,600.0","27,822.8","0.14K","-2.43%"
"05/29/2022","28,681.5","27,854.9","30,996.0","27,605.0","0.13K","2.97%"
"05/22/2022","27,854.9","28,665.8","29,755.8","27,000.0","0.17K","-2.83%"
"05/15/2022","28,665.8","30,144.0","31,400.0","28,002.1","0.17K","-4.90%"
"05/08/2022","30,144.0","35,310.4","35,310.4","25,369.6","0.51K","-14.63%"
"05/01/2022","35,310.4","36,553.0","38,906.7","34,500.0","0.17K","-3.40%"
"04/24/2022","36,553.0","37,807.9","39,191.2","36,350.0","0.15K","-3.32%"
"04/17/2022","37,807.9","38,215.7","40,709.0","36,500.0","0.16K","-1.07%"
"04/10/2022","38,215.7","39,928.6","40,510.0","36,500.0","0.13K","-4.29%"
"04/03/2022","39,928.6","42,450.9","43,841.0","39,406.0","0.18K","-5.94%"
"03/27/2022","42,450.9","41,322.9","44,977.6","40,876.9","0.17K","2.73%"
"03/20/2022","41,322.9","39,294.9","41,840.0","37,879.6","0.18K","5.16%"
"03/13/2022","39,294.9","36,320.7","39,440.0","35,000.0","0.17K","8.19%"
"03/06/2022","36,320.7","36,164.6","39,350.0","34,046.1","0.23K","0.43%"
"02/27/2022","36,164.6","36,292.3","41,500.0","34,301.1","0.22K","-0.35%"
"02/20/2022","36,292.3","37,014.3","37,154.9","31,575.3","0.18K","-1.95%"
"02/13/2022","37,014.3","39,092.0","41,359.0","36,400.0","0.09K","-5.31%"
"02/06/2022","39,092.0","38,396.7","42,308.1","38,110.7","0.18K","1.81%"
"01/30/2022","38,396.7","35,523.6","38,800.0","33,550.0","0.19K","8.09%"
"01/23/2022","35,523.6","32,029.4","36,153.8","30,119.3","0.29K","10.91%"
"01/16/2022","32,029.4","39,554.7","39,812.2","31,006.8","0.17K","-19.03%"
"01/09/2022","39,554.7","38,470.9","40,811.7","36,865.1","0.14K","2.82%"
"01/02/2022","38,470.9","43,631.0","43,799.9","37,400.0","0.20K","-11.83%"
"12/26/2021","43,631.0","46,501.0","47,779.7","41,846.0","0.11K","-6.17%"
"12/19/2021","46,501.0","43,520.7","47,600.0","42,144.3","0.13K","6.85%"
"12/12/2021","43,520.7","45,384.9","46,630.0","42,012.0","0.12K","-4.11%"
"12/05/2021","45,384.9","45,462.1","48,157.0","43,131.7","0.25K","-0.17%"
"11/28/2021","45,462.1","50,676.2","54,431.9","40,680.0","0.18K","-10.29%"
"11/21/2021","50,676.2","55,630.9","55,631.0","49,632.0","0.24K","-8.91%"
"11/14/2021","55,630.9","59,367.0","60,500.0","51,686.2","0.22K","-6.29%"
"11/07/2021","59,367.0","56,261.0","62,792.7","56,124.4","0.17K","5.52%"
"10/31/2021","56,261.0","56,743.3","58,719.7","54,751.0","0.12K","-0.85%"
"10/24/2021","56,743.3","56,207.1","58,648.0","53,000.8","0.28K","0.95%"
"10/17/2021","56,207.1","56,267.9","61,824.4","54,418.4","0.31K","-0.11%"
"10/10/2021","56,267.9","51,087.1","57,896.0","50,300.0","0.19K","10.14%"
"10/03/2021","51,087.1","44,380.1","52,100.0","43,492.4","0.16K","15.11%"
"09/26/2021","44,380.1","39,635.6","45,023.0","37,862.8","0.19K","11.97%"
"09/19/2021","39,635.6","45,071.8","45,179.2","36,670.7","0.28K","-12.06%"
"09/12/2021","45,071.8","41,623.8","45,546.0","40,150.1","0.13K","8.28%"
"09/05/2021","41,623.8","45,703.7","48,398.0","40,521.0","0.19K","-8.93%"
"08/29/2021","45,703.7","44,610.8","46,623.0","42,765.2","0.18K","2.45%"
"08/22/2021","44,610.8","45,012.7","46,348.0","42,600.0","0.21K","-0.89%"
"08/15/2021","45,012.7","43,145.4","45,690.0","40,500.0","0.16K","4.33%"
"08/08/2021","43,145.4","40,674.8","44,079.3","39,300.0","0.28K","6.07%"
"08/01/2021","40,674.8","37,696.1","40,777.0","33,999.8","0.14K","7.90%"
"07/25/2021","37,696.1","31,567.7","38,407.2","31,170.3","0.22K","21.18%"
"07/18/2021","31,108.8","29,048.8","31,260.0","27,000.4","0.16K","7.09%"
"07/11/2021","29,048.8","30,752.1","31,657.7","28,600.0","0.13K","-5.54%"
"07/04/2021","30,752.1","32,684.7","32,695.4","29,550.0","0.14K","-3.77%"
"06/27/2021","31,957.9","29,651.9","33,373.1","29,651.9","0.19K","7.88%"
"06/20/2021","29,623.0","32,700.0","32,700.0","27,465.4","0.28K","-9.41%"
"06/13/2021","32,700.0","31,949.6","36,500.0","31,657.6","0.19K","2.35%"
"06/06/2021","31,949.6","32,117.6","33,644.2","28,806.7","0.32K","-0.52%"
"05/30/2021","32,117.6","31,346.2","35,008.3","31,221.6","0.35K","2.46%"
"05/23/2021","31,346.2","33,834.5","35,777.2","29,582.1","0.72K","-7.35%"
"05/16/2021","33,834.5","42,341.6","44,290.1","32,991.8","1.10K","-20.02%"
"05/09/2021","42,303.6","52,768.5","52,768.5","42,303.6","0.44K","-19.83%"
"05/02/2021","52,770.3","52,706.8","53,063.4","48,888.0","0.35K","0.12%"
"04/25/2021","52,706.8","46,025.0","53,151.3","45,646.6","0.42K","14.52%"
"04/18/2021","46,025.0","55,440.0","55,440.0","44,928.4","0.60K","-16.98%"
"04/11/2021","55,440.0","55,475.0","59,565.8","55,107.6","0.36K","-0.06%"
"04/04/2021","55,475.0","54,219.9","56,200.0","52,740.9","0.14K","2.31%"
"03/28/2021","54,219.9","52,649.4","56,326.6","52,213.7","0.16K","2.98%"
"03/21/2021","52,649.4","54,188.7","54,188.7","48,728.0","0.26K","-2.84%"
"03/14/2021","54,188.7","56,678.1","56,678.1","49,832.3","","-4.39%"
"03/07/2021","56,678.1","45,600.9","57,035.1","45,600.9","","24.14%"
"02/28/2021","45,656.0","42,235.0","46,941.0","40,940.7","","8.10%"
"02/21/2021","42,235.0","49,622.8","50,023.0","42,224.3","","-14.89%"
"02/14/2021","49,622.8","42,312.5","50,529.9","42,312.5","","17.28%"
"02/07/2021","42,312.5","35,528.0","42,997.1","34,644.4","","19.10%"
"01/31/2021","35,528.0","30,606.1","36,501.8","29,676.8","","16.08%"
"01/24/2021","30,606.1","28,473.9","33,684.8","27,504.2","","7.49%"
"01/17/2021","28,473.9","32,382.2","33,257.0","27,476.7","","-12.07%"
